x,fp,tn,mse,method,tp,fn,fdp,power
2,186.0,654.0,0.9530473088669191,BGSM,204.0,0.0,0.29245283018867924,1.0
3,82.0,758.0,0.6936299554745481,BGSM,204.0,0.0,0.1289308176100629,1.0
4,25.0,815.0,0.32259589494751056,BGSM,204.0,0.0,0.03930817610062893,1.0
5,5.0,835.0,0.11420740865375191,BGSM,204.0,0.0,0.007861635220125786,1.0
6,7.0,833.0,0.10043116610315156,BGSM,204.0,0.0,0.0110062893081761,1.0
7,7.0,833.0,0.08968133582542398,BGSM,204.0,0.0,0.0110062893081761,1.0
8,0.0,840.0,0.07772681407273972,BGSM,204.0,0.0,0.0,1.0
9,7.0,833.0,0.08806610056710504,BGSM,204.0,0.0,0.0110062893081761,1.0
10,5.0,835.0,0.08143950715888264,BGSM,204.0,0.0,0.007861635220125786,1.0
2,621.0,219.0,0.3709653865984443,GenLasso,199.0,5.0,0.9764150943396226,0.9754901960784313
3,583.0,257.0,0.466042482503461,GenLasso,196.0,8.0,0.9166666666666666,0.9607843137254902
4,575.0,265.0,0.4511575119627882,GenLasso,204.0,0.0,0.9040880503144654,1.0
5,255.0,585.0,0.5840300302929495,GenLasso,199.0,5.0,0.4009433962264151,0.9754901960784313
6,242.0,598.0,0.6077171561002551,GenLasso,199.0,5.0,0.3805031446540881,0.9754901960784313
7,235.0,605.0,0.45927742958644624,GenLasso,203.0,1.0,0.3694968553459119,0.9950980392156863
8,246.0,594.0,0.639844318319404,GenLasso,201.0,3.0,0.3867924528301887,0.9852941176470589
9,248.0,592.0,0.3983591579937901,GenLasso,204.0,0.0,0.389937106918239,1.0
10,256.0,584.0,0.9940587107906272,GenLasso,199.0,5.0,0.4025157232704403,0.9754901960784313
2,103.0,737.0,1.2216400679530601,L0Pen,91.0,113.0,0.1619496855345912,0.44607843137254904
3,92.0,748.0,0.9870361792998938,L0Pen,157.0,47.0,0.14465408805031446,0.7696078431372549
4,95.0,745.0,0.7144687533594625,L0Pen,199.0,5.0,0.14937106918238993,0.9754901960784313
5,98.0,742.0,0.6814899179767765,L0Pen,204.0,0.0,0.1540880503144654,1.0
6,107.0,733.0,0.6712989837895932,L0Pen,204.0,0.0,0.16823899371069181,1.0
7,110.0,730.0,0.6676780918094849,L0Pen,204.0,0.0,0.17295597484276728,1.0
8,117.0,723.0,0.6626180738163524,L0Pen,204.0,0.0,0.18396226415094338,1.0
9,120.0,720.0,0.6603944783360934,L0Pen,204.0,0.0,0.18867924528301888,1.0
10,120.0,720.0,0.661287243260879,L0Pen,204.0,0.0,0.18867924528301888,1.0
