x,fp,tn,tp,fn,mse,fdp,power,method
1,321.0,519.0,89.0,115.0,0.932237,0.5234867999999999,0.863725,BGSM
2,186.0,654.0,204.0,0.0,0.9530473088669191,0.29245283018867924,1.0,BGSM
3,82.0,758.0,204.0,0.0,0.6936299554745481,0.1289308176100629,1.0,BGSM
4,25.0,815.0,204.0,0.0,0.32259589494751056,0.03930817610062893,1.0,BGSM
5,5.0,835.0,204.0,0.0,0.11420740865375191,0.007861635220125786,1.0,BGSM
6,7.0,833.0,204.0,0.0,0.10043116610315156,0.0110062893081761,1.0,BGSM
7,7.0,833.0,204.0,0.0,0.08968133582542398,0.0110062893081761,1.0,BGSM
8,0.0,840.0,204.0,0.0,0.07772681407273972,0.0,1.0,BGSM
9,7.0,833.0,204.0,0.0,0.08806610056710504,0.0110062893081761,1.0,BGSM
10,5.0,835.0,204.0,0.0,0.08143950715888264,0.007861635220125786,1.0,BGSM
1,630.0,210.0,3.0,201.0,0.198585,0.903725,0.985294,GenLasso
2,621.0,219.0,199.0,5.0,0.3709653865984443,0.9764150943396226,0.9754901960784313,GenLasso
3,583.0,257.0,196.0,8.0,0.466042482503461,0.9166666666666666,0.9607843137254902,GenLasso
4,575.0,265.0,204.0,0.0,0.4511575119627882,0.9040880503144654,1.0,GenLasso
5,255.0,585.0,199.0,5.0,0.5840300302929495,0.4009433962264151,0.9754901960784313,GenLasso
6,242.0,598.0,199.0,5.0,0.6077171561002551,0.3805031446540881,0.9754901960784313,GenLasso
7,235.0,605.0,203.0,1.0,0.45927742958644624,0.3694968553459119,0.9950980392156863,GenLasso
8,246.0,594.0,201.0,3.0,0.639844318319404,0.3867924528301887,0.9852941176470589,GenLasso
9,248.0,592.0,204.0,0.0,0.3983591579937901,0.389937106918239,1.0,GenLasso
10,256.0,584.0,199.0,5.0,0.9940587107906272,0.4025157232704403,0.9754901960784313,GenLasso
1,43.0,797.0,169.0,35.0,1.33292,0.275641,0.171569,L0Pen
2,103.0,737.0,91.0,113.0,1.2216400679530601,0.1619496855345912,0.44607843137254904,L0Pen
3,92.0,748.0,157.0,47.0,0.9870361792998938,0.14465408805031446,0.7696078431372549,L0Pen
4,95.0,745.0,199.0,5.0,0.7144687533594625,0.14937106918238993,0.9754901960784313,L0Pen
5,98.0,742.0,204.0,0.0,0.6814899179767765,0.1540880503144654,1.0,L0Pen
6,107.0,733.0,204.0,0.0,0.6712989837895932,0.16823899371069181,1.0,L0Pen
7,110.0,730.0,204.0,0.0,0.6676780918094849,0.17295597484276728,1.0,L0Pen
8,117.0,723.0,204.0,0.0,0.6626180738163524,0.18396226415094338,1.0,L0Pen
9,120.0,720.0,204.0,0.0,0.6603944783360934,0.18867924528301888,1.0,L0Pen
10,120.0,720.0,204.0,0.0,0.661287243260879,0.18867924528301888,1.0,L0Pen
