y,m,district,year
2.439704538709604,13.930165182349198,1st District – Central,2002
1.8155855699483043,10.366585990550517,2nd District – Wentworth,2002
2.3963930552790655,13.682866335744153,3rd District – Grand Crossing,2002
0.6545085447697243,3.737096848097676,4th District – South Chicago,2002
1.3009191647390346,7.427956363635536,5th District – Calumet,2002
1.4252122189421275,8.13764179832491,6th District – Gresham,2002
2.4791226575142673,14.155233791032794,7th District – Englewood,2002
0.2657773976482969,1.5175292713657436,8th District – Chicago Lawn,2002
0.4978693454392278,2.8427221867057533,9th District – Deering,2002
1.035632327963741,5.9132280847197,10th District – Ogden,2002
2.5333726294762826,14.464988951372165,11th District – Harrison,2002
0.7262279017149449,4.146598274670914,12th District – Near West,2002
1.1910970162330115,6.80089655163939,14th District – Shakespeare,2002
3.8318740099100523,21.879140309437048,15th District – Austin,2002
0.17063567537788463,0.9742913972988182,16th District – Jefferson Park,2002
0.43739753462728215,2.497441723387141,17th District – Albany Park,2002
1.4696974493386978,8.391642476590174,18th District – Near North,2002
0.5135709172916807,2.9323746368515735,19th District – Town Hall,2002
0.986176826140585,5.630848272475339,20th District – Lincoln,2002
0.49929905191993423,2.850885489729754,22nd District – Morgan Park,2002
0.7693140894238679,4.392610733286273,24th District – Rogers Park,2002
0.5264752563440697,3.0060555157107385,25th District – Grand Central,2002
19.632740318682615,14.785152503255937,1st District – Central,2003
13.553535154117643,10.206984911891114,2nd District – Wentworth,2003
17.83691984701639,13.432744275414832,3rd District – Grand Crossing,2003
5.144162041027474,3.8739991994737024,4th District – South Chicago,2003
9.712084297646191,7.314039972735282,5th District – Calumet,2003
11.000407487505928,8.284258827890776,6th District – Gresham,2003
17.736201262325377,13.356894464823101,7th District – Englewood,2003
2.0473523503405957,1.5418335003840347,8th District – Chicago Lawn,2003
4.0911945602534034,3.081023561253754,9th District – Deering,2003
7.888101385170669,5.940422989749939,10th District – Ogden,2003
17.9459683047242,13.51486720126643,11th District – Harrison,2003
6.064343516890931,4.566975484519642,12th District – Near West,2003
9.240051455162169,6.958558391998928,14th District – Shakespeare,2003
29.067034995390504,21.889992851143838,15th District – Austin,2003
1.3421692788709794,1.0107696200926497,16th District – Jefferson Park,2003
3.340861386767295,2.5159577467944656,17th District – Albany Park,2003
11.231798983462909,8.45851664927218,18th District – Near North,2003
4.102040474823928,3.0891914735451373,19th District – Town Hall,2003
7.183222273640689,5.409588017598195,20th District – Lincoln,2003
3.732552971139743,2.810935407334173,22nd District – Morgan Park,2003
6.079089765447426,4.578080685842518,24th District – Rogers Park,2003
4.060638825558247,3.058012448694648,25th District – Grand Central,2003
21.09030738924502,15.71425766136559,1st District – Central,2004
11.860359356596721,8.837080439187515,2nd District – Wentworth,2004
18.202471330025062,13.562548865432792,3rd District – Grand Crossing,2004
5.265175347964795,3.923049603932342,4th District – South Chicago,2004
9.796884954310663,7.299598417863774,5th District – Calumet,2004
11.281005674298571,8.405407591909022,6th District – Gresham,2004
18.23870875796461,13.589549148980938,7th District – Englewood,2004
1.9828191519183223,1.4773862928628616,8th District – Chicago Lawn,2004
4.115135449874931,3.066161985089453,9th District – Deering,2004
8.317962624353989,6.197662532095811,10th District – Ogden,2004
18.464101546544324,13.757487922436725,11th District – Harrison,2004
6.1660002881278615,4.5942486982008965,12th District – Near West,2004
8.532891468317604,6.3578046851033125,14th District – Shakespeare,2004
31.539499015727507,23.499885748287827,15th District – Austin,2004
1.318912394508442,0.9827134720019959,16th District – Jefferson Park,2004
3.2124947189962443,2.393609956383398,17th District – Albany Park,2004
10.943485129764886,8.153923120634246,18th District – Near North,2004
3.8620383794882747,2.877580922519408,19th District – Town Hall,2004
6.5900207118341365,4.910183694729192,20th District – Lincoln,2004
3.6462483498606137,2.7167971053972355,22nd District – Morgan Park,2004
5.765665506793257,4.295961727385739,24th District – Rogers Park,2004
4.114784632423726,3.0659005931752152,25th District – Grand Central,2004
22.49032245530453,17.01534162902147,1st District – Central,2005
10.863867302930071,8.219198010125119,2nd District – Wentworth,2005
18.315891915948086,13.857122716201156,3rd District – Grand Crossing,2005
5.037702228993654,3.811338170982632,4th District – South Chicago,2005
9.733766283725174,7.364205603711606,5th District – Calumet,2005
11.063585650681292,8.370297485169294,6th District – Gresham,2005
17.93411981559505,13.568288141915012,7th District – Englewood,2005
1.982182101588389,1.4996452672693128,8th District – Chicago Lawn,2005
3.8961268891822263,2.9476647202902284,9th District – Deering,2005
8.454218934713374,6.396147661580614,10th District – Ogden,2005
18.47468840364882,13.97726223367968,11th District – Harrison,2005
5.939731990858565,4.493780345307986,12th District – Near West,2005
7.892956928120057,5.971517698868678,14th District – Shakespeare,2005
29.558262840967664,22.362682491502124,15th District – Austin,2005
1.2082505161680166,0.9141174096946473,16th District – Jefferson Park,2005
3.119072310785091,2.3597741223631177,17th District – Albany Park,2005
10.402017648429577,7.869779736190237,18th District – Near North,2005
3.8262338710932116,2.8947862618941165,19th District – Town Hall,2005
7.23390195889307,5.472901217224748,20th District – Lincoln,2005
3.766197145536691,2.849364707905189,22nd District – Morgan Park,2005
5.95757501276065,4.507279712156169,24th District – Rogers Park,2005
3.907547119571468,2.956304841922155,25th District – Grand Central,2005
21.09280965031036,16.46997288524468,1st District – Central,2006
10.062943987243104,7.85748401295563,2nd District – Wentworth,2006
18.42318165938879,14.38543785396583,3rd District – Grand Crossing,2006
4.979089523491887,3.8878400177432315,4th District – South Chicago,2006
9.599819791948342,7.495861115605241,5th District – Calumet,2006
11.075785571846188,8.648344676471627,6th District – Gresham,2006
17.645595690861015,13.77827266213418,7th District – Englewood,2006
2.027603790112654,1.5832210122222092,8th District – Chicago Lawn,2006
3.874040575517296,3.0249807537692694,9th District – Deering,2006
7.806263229722618,6.095392025060176,10th District – Ogden,2006
17.773464809550912,13.878117156660862,11th District – Harrison,2006
5.592131418241964,4.3665236806332635,12th District – Near West,2006
7.30645799935988,5.705127345842504,14th District – Shakespeare,2006
28.519412412254635,22.268913289417227,15th District – Austin,2006
1.1960683386447828,0.9339302555214292,16th District – Jefferson Park,2006
3.1024321871851406,2.422483056945321,17th District – Albany Park,2006
10.1375045631419,7.91570341016824,18th District – Near North,2006
3.5802643576917133,2.7955904344077194,19th District – Town Hall,2006
7.170760055955677,5.599169842527254,20th District – Lincoln,2006
3.6021208457602674,2.8126567130033004,22nd District – Morgan Park,2006
6.019170421881189,4.699970050627715,24th District – Rogers Park,2006
3.9109590471273745,3.05380793404839,25th District – Grand Central,2006
21.13659921895387,16.790689858144955,1st District – Central,2007
9.417423702958088,7.481101336175048,2nd District – Wentworth,2007
17.614676807032083,13.99291211204473,3rd District – Grand Crossing,2007
5.177256289712146,4.112757391867195,4th District – South Chicago,2007
9.628247284807454,7.64857734974499,5th District – Calumet,2007
11.26575577284245,8.949396695272435,6th District – Gresham,2007
17.048627067524894,13.54324821285767,7th District – Englewood,2007
1.9966431440778813,1.5861121007366301,8th District – Chicago Lawn,2007
3.8108163951787555,3.0272720571056637,9th District – Deering,2007
7.666632150066407,6.090291127477759,10th District – Ogden,2007
17.15631331598872,13.628793024547235,11th District – Harrison,2007
5.324998612435737,4.230122323381308,12th District – Near West,2007
7.055224439134177,5.604595337686957,14th District – Shakespeare,2007
30.166732377785294,23.964131700753427,15th District – Austin,2007
1.2010093616961643,0.9540690770578472,16th District – Jefferson Park,2007
2.9056032966028633,2.308180388844829,17th District – Albany Park,2007
9.81132585060924,7.794013017337873,18th District – Near North,2007
3.4601700691166073,2.748722341050684,19th District – Town Hall,2007
6.346592059720243,5.0416653041975135,20th District – Lincoln,2007
3.579935194527497,2.843862484257488,22nd District – Morgan Park,2007
5.670548786586712,4.504623710501056,24th District – Rogers Park,2007
3.567096087362496,2.8336632339320285,25th District – Grand Central,2007
19.07723836217643,15.588955976996841,1st District – Central,2008
8.80967830938308,7.198824312472924,2nd District – Wentworth,2008
17.160228108029692,14.022471987438111,3rd District – Grand Crossing,2008
5.01118695745714,4.094888966066673,4th District – South Chicago,2008
9.810375967870918,8.016543913617069,5th District – Calumet,2008
11.52761836641757,9.419787697887854,6th District – Gresham,2008
17.66744384284533,14.43694307653232,7th District – Englewood,2008
1.9679758792308695,1.60813052511557,8th District – Chicago Lawn,2008
3.5835465415884817,2.9282932999936,9th District – Deering,2008
7.735814920651357,6.321317370721966,10th District – Ogden,2008
15.930106160767776,13.017278441173906,11th District – Harrison,2008
5.270260351000466,4.306590662616494,12th District – Near West,2008
6.990153654238669,5.712000632356645,14th District – Shakespeare,2008
29.303002449912462,23.944934089160352,15th District – Austin,2008
1.224436626163922,1.0005477889156225,16th District – Jefferson Park,2008
2.8994226792657387,2.3692618212179903,17th District – Albany Park,2008
9.631738234422102,7.870570177288161,18th District – Near North,2008
3.411311833702511,2.787551792864945,19th District – Town Hall,2008
5.846441723295111,4.777416988573357,20th District – Lincoln,2008
3.566526284441757,2.9143852052085863,22nd District – Morgan Park,2008
5.347906167383892,4.3700389034163285,24th District – Rogers Park,2008
3.6371147745967596,2.9720665553399934,25th District – Grand Central,2008
18.59930649869588,16.020586404298143,1st District – Central,2009
8.265050454715944,7.119133982492552,2nd District – Wentworth,2009
16.135611058171005,13.898472567334831,3rd District – Grand Crossing,2009
4.739255901999965,4.082176863712312,4th District – South Chicago,2009
8.743140430872044,7.530938679220072,5th District – Calumet,2009
