mse,fdr,power,signal,method
0.45633395913650265,0.0,0.1935483870967742,1,BGSM
0.08386652184401697,0.032258064516129004,0.967741935483871,2,BGSM
0.08367576674963337,0.0,1.0,3,BGSM
0.08367576674963337,0.0,1.0,4,BGSM
0.08367576674956995,0.0,1.0,5,BGSM
0.1032052411800326,0.99026687598,1.0,1,Genlasso
0.173752143840429,0.99026993094,1.0,2,Genlasso
0.26490075252352835,0.99026993094,1.0,3,Genlasso
0.4075331810894752,0.99026993094,1.0,4,Genlasso
0.5967252263492127,0.99026993094,1.0,5,Genlasso
0.15142814215310343,0.8148148148148149,0.16129032258064516,1,L0pen
0.09400821105870759,0.21875,0.8064516129032258,2,L0pen
0.08367576674963337,0.0,1.0,3,L0pen
0.08367576674956995,0.0,1.0,4,L0pen
0.08367576674956995,0.0,1.0,5,L0pen
