mse,fdr,power,signal,method
0.2648029492610089,0.0058021467943139005,0.749890590809628,1,BGSM
0.08387687951803596,0.0,1.0,2,BGSM
0.08387687951803596,0.0,1.0,3,BGSM
0.08387687951803596,0.0,1.0,4,BGSM
0.08387687951803596,0.0,1.0,5,BGSM
0.464641441,0.6601977842,1.0,1,Genlasso
1.5185318487661,0.6572671366,1.0,2,Genlasso
3.337118849695,0.657652258596149,1.0,3,Genlasso
6.2780002922,0.657009906934854,1.0,4,Genlasso
9.3449773579,0.656984162726,1.0,5,Genlasso
0.32802673343969574,0.05290659699542788,0.6345733041575492,1,L0pen
0.06682641994995761,0.0236367,0.898906,2,L0pen
0.13198465699728584,0.010662431941923733,0.9542669584245077,3,L0pen
0.13092259452172855,0.00784577449002466,0.9684901531728666,4,L0pen
0.09446396606350393,0.0013192612137202797,0.9938730853391685,5,L0pen
