sigma,mse,t,change,method,x,y,c
0.1,0.00019079930717269252,0.12091462550000001,19.0,BGSM,0.1,0.00019079930717269252,19.0
0.2,0.0033631812116738796,0.19393705500000002,18.900000000000002,BGSM,0.2,0.0033631812116738796,18.900000000000002
0.3,0.019360935063849068,0.7946828003,18.400000000000002,BGSM,0.3,0.019360935063849068,18.400000000000002
0.4,0.018668940522443025,1.8234568012,19.8,BGSM,0.4,0.018668940522443025,19.8
0.5,0.07728973094757267,1.5478285476,19.400000000000002,BGSM,0.5,0.07728973094757267,19.400000000000002
0.1,0.0009400972420884004,11.106142914400001,103.2,Genlasso,0.1,0.0009400972420884004,103.2
0.2,0.00374345848669262,10.9998870547,104.5,Genlasso,0.2,0.00374345848669262,104.5
0.3,0.008421253361716532,12.500954912500001,104.2,Genlasso,0.3,0.008421253361716532,104.2
0.4,0.014943842997641472,12.0427091483,104.0,Genlasso,0.4,0.014943842997641472,104.0
0.5,0.02345071693511185,11.0825798522,106.7,Genlasso,0.5,0.02345071693511185,106.7
0.1,0.005052702980677948,2.3037315345000002,18.8,L0pen,0.1,0.005052702980677948,18.8
0.2,0.0054563072995552275,2.4096611859,18.8,L0pen,0.2,0.0054563072995552275,18.8
0.3,0.0039960402460119835,2.8891753881,18.900000000000002,L0pen,0.3,0.0039960402460119835,18.900000000000002
0.4,0.008260675108900207,3.0740232784000003,19.1,L0pen,0.4,0.008260675108900207,19.1
0.5,0.06512021410026715,3.4494726803999995,18.2,L0pen,0.5,0.06512021410026715,18.2
