sigma,mse,t,change,method,x,y,c
0.1,0.0024991113917588186,0.0935657215,13.8,BGSM,0.1,0.0024991113917588186,13.8
0.2,0.03553745704598556,0.09153378410000002,12.5,BGSM,0.2,0.03553745704598556,12.5
0.3,0.19814372792936433,0.086745127,11.0,BGSM,0.3,0.19814372792936433,11.0
0.4,0.27406323715580033,0.0891845767,11.4,BGSM,0.4,0.27406323715580033,11.4
0.5,0.17390385980960532,0.09288409060000001,14.700000000000001,BGSM,0.5,0.17390385980960532,14.700000000000001
0.1,0.0006401329256108055,11.153697816700001,69.3,Genlasso,0.1,0.0006401329256108055,69.3
0.2,0.0025513058337072875,10.3392985936,69.0,Genlasso,0.2,0.0025513058337072875,69.0
0.3,0.00574043812584165,10.649456272000002,69.0,Genlasso,0.3,0.00574043812584165,69.0
0.4,0.010151550453997054,10.551190413799999,68.9,Genlasso,0.4,0.010151550453997054,68.9
0.5,0.015847827163026098,11.539428892200002,68.7,Genlasso,0.5,0.015847827163026098,68.7
0.1,0.006136215536935539,107.4905558021,13.0,L0pen,0.1,0.006136215536935539,13.0
0.2,0.006762464247962838,100.1838570223,12.9,L0pen,0.2,0.006762464247962838,12.9
0.3,0.03127855920250919,107.7405747893,12.200000000000001,L0pen,0.3,0.03127855920250919,12.200000000000001
0.4,0.03325956461511582,112.7026075006,12.5,L0pen,0.4,0.03325956461511582,12.5
0.5,0.04153436521128635,123.63363509930001,12.100000000000001,L0pen,0.5,0.04153436521128635,12.100000000000001
