sigma,mse,t,change,method,x,y,c
0.1,0.00949494760814862,0.1320460174,18.0,BGSM,0.1,0.00949494760814862,18.0
0.2,0.010102872894072093,0.7265690662000002,18.1,BGSM,0.2,0.010102872894072093,18.1
0.3,0.011160104544296003,2.5530195387999997,18.1,BGSM,0.3,0.011160104544296003,18.1
0.4,0.01693498929252089,4.702565044799999,19.200000000000003,BGSM,0.4,0.01693498929252089,19.200000000000003
0.5,0.03682770578405877,4.438524354000001,17.5,BGSM,0.5,0.03682770578405877,17.5
0.1,0.00115666519004422,12.279678176600001,129.9,Genlasso,0.1,0.00115666519004422,129.9
0.2,0.0045846515865884145,11.6113557592,129.0,Genlasso,0.2,0.0045846515865884145,129.0
0.3,0.010241553302443272,11.503247149400002,131.20000000000002,Genlasso,0.3,0.010241553302443272,131.20000000000002
0.4,0.018139925086620778,12.2777441761,130.5,Genlasso,0.4,0.018139925086620778,130.5
0.5,0.02818425972598748,11.952594663000001,130.3,Genlasso,0.5,0.02818425972598748,130.3
0.1,0.002875639919300759,1.9320292221000004,19.400000000000002,L0pen,0.1,0.002875639919300759,19.400000000000002
0.2,0.00888044284340919,1.9885031375000002,18.8,L0pen,0.2,0.00888044284340919,18.8
0.3,0.009186229600151896,2.2189739195000007,19.0,L0pen,0.3,0.009186229600151896,19.0
0.4,0.011193658855824282,2.5521309972000004,19.200000000000003,L0pen,0.4,0.011193658855824282,19.200000000000003
0.5,0.04627128136288496,2.9203548973,17.8,L0pen,0.5,0.04627128136288496,17.8
